percentile,iat_sec
0.0,1.0
0.5,1.0
1.0,1.0
1.5,1.0
2.0,1.0
2.5,1.0
3.0,1.0
3.5,1.0
4.0,1.0
4.5,1.0
5.0,1.0
5.5,1.0
6.0,1.0
6.5,1.0
7.0,1.0
7.5,1.0
8.0,1.0
8.5,1.0
9.0,1.0
9.5,1.0
10.0,1.0
10.5,1.0
11.0,1.0
11.5,1.0
12.0,1.0
12.5,1.0
13.0,1.0
13.5,1.0
14.0,1.0
14.5,1.0
15.0,1.0
15.5,1.0
16.0,1.0
16.5,1.0
17.0,1.0
17.5,1.0
18.0,1.0
18.5,1.0
19.0,1.0
19.5,1.0
20.0,1.0
20.5,1.0
21.0,1.0
21.5,1.0
22.0,1.0
22.5,1.0
23.0,1.0
23.5,2.0
24.0,2.0
24.5,2.0
25.0,2.0
25.5,2.0
26.0,2.0
26.5,2.0
27.0,2.0
27.5,2.0
28.0,2.0
28.5,2.0
29.0,2.0
29.5,2.0
30.0,2.0
30.5,2.0
31.0,2.0
31.5,2.0
32.0,2.0
32.5,2.0
33.0,2.0
33.5,2.0
34.0,2.0
34.5,2.0
35.0,2.0
35.5,3.0
36.0,3.0
36.5,3.0
37.0,3.0
37.5,3.0
38.0,3.0
38.5,3.0
39.0,3.0
39.5,3.0
40.0,3.0
40.5,3.0
41.0,3.0
41.5,3.0
42.0,3.0
42.5,3.0
43.0,3.0
43.5,4.0
44.0,4.0
44.5,4.0
45.0,4.0
45.5,4.0
46.0,4.0
46.5,4.0
47.0,4.0
47.5,4.0
48.0,4.0
48.5,4.0
49.0,5.0
49.5,5.0
50.0,5.0
50.5,5.0
51.0,5.0
51.5,5.0
52.0,5.0
52.5,5.0
53.0,5.0
53.5,6.0
54.0,6.0
54.5,6.0
55.0,6.0
55.5,6.0
56.0,6.0
56.5,6.0
57.0,7.0
57.5,7.0
58.0,7.0
58.5,7.0
59.0,7.0
59.5,7.0
60.0,8.0
60.5,8.0
61.0,8.0
61.5,8.0
62.0,8.0
62.5,9.0
63.0,9.0
63.5,9.0
64.0,9.0
64.5,10.0
65.0,10.0
65.5,10.0
66.0,10.0
66.5,11.0
67.0,11.0
67.5,11.0
68.0,11.0
68.5,12.0
69.0,12.0
69.5,12.0
70.0,13.0
70.5,13.0
71.0,13.0
71.5,14.0
72.0,14.0
72.5,15.0
73.0,15.0
73.5,16.0
74.0,16.0
74.5,16.0
75.0,17.0
75.5,17.0
76.0,18.0
76.5,19.0
77.0,19.0
77.5,20.0
78.0,20.0
78.5,21.0
79.0,22.0
79.5,23.0
80.0,23.0
80.5,24.0
81.0,25.0
81.5,26.0
82.0,27.0
82.5,28.0
83.0,29.0
83.5,30.0
84.0,31.0
84.5,32.0
85.0,34.0
85.5,35.0
86.0,37.0
86.5,38.0
87.0,40.0
87.5,42.0
88.0,44.0
88.5,46.0
89.0,49.0
89.5,51.0
90.0,54.0
90.5,58.0
91.0,61.0
91.5,65.0
92.0,70.0
92.5,75.0
93.0,81.0
93.5,88.0
94.0,97.0
94.5,107.0
95.0,120.0
95.5,137.0
96.0,159.0
96.5,190.0
97.0,232.0
97.5,296.0
98.0,394.0
98.5,546.0
99.0,784.0
99.5,1160.0
100.0,1799.0
