percentile,iat_sec
0.0,1.0
0.5,1.0
1.0,1.0
1.5,1.0
2.0,1.0
2.5,1.0
3.0,1.0
3.5,1.0
4.0,1.0
4.5,1.0
5.0,1.0
5.5,1.0
6.0,1.0
6.5,1.0
7.0,1.0
7.5,1.0
8.0,1.0
8.5,1.0
9.0,1.0
9.5,1.0
10.0,1.0
10.5,1.0
11.0,1.0
11.5,1.0
12.0,1.0
12.5,1.0
13.0,1.0
13.5,1.0
14.0,1.0
14.5,1.0
15.0,1.0
15.5,1.0
16.0,1.0
16.5,1.0
17.0,1.0
17.5,1.0
18.0,1.0
18.5,2.0
19.0,2.0
19.5,2.0
20.0,2.0
20.5,2.0
21.0,2.0
21.5,2.0
22.0,2.0
22.5,2.0
23.0,2.0
23.5,2.0
24.0,2.0
24.5,2.0
25.0,2.0
25.5,2.0
26.0,2.0
26.5,2.0
27.0,2.0
27.5,2.0
28.0,2.0
28.5,2.0
29.0,2.0
29.5,3.0
30.0,3.0
30.5,3.0
31.0,3.0
31.5,3.0
32.0,3.0
32.5,3.0
33.0,3.0
33.5,3.0
34.0,3.0
34.5,3.0
35.0,3.0
35.5,3.0
36.0,3.0
36.5,4.0
37.0,4.0
37.5,4.0
38.0,4.0
38.5,4.0
39.0,4.0
39.5,4.0
40.0,4.0
40.5,4.0
41.0,4.0
41.5,5.0
42.0,5.0
42.5,5.0
43.0,5.0
43.5,5.0
44.0,5.0
44.5,5.0
45.0,5.0
45.5,6.0
46.0,6.0
46.5,6.0
47.0,6.0
47.5,6.0
48.0,6.0
48.5,6.0
49.0,7.0
49.5,7.0
50.0,7.0
50.5,7.0
51.0,7.0
51.5,8.0
52.0,8.0
52.5,8.0
53.0,8.0
53.5,8.0
54.0,9.0
54.5,9.0
55.0,9.0
55.5,9.0
56.0,10.0
56.5,10.0
57.0,10.0
57.5,11.0
58.0,11.0
58.5,11.0
59.0,11.0
59.5,12.0
60.0,12.0
60.5,12.0
61.0,13.0
61.5,13.0
62.0,14.0
62.5,14.0
63.0,14.0
63.5,15.0
64.0,15.0
64.5,16.0
65.0,16.0
65.5,16.0
66.0,17.0
66.5,17.0
67.0,18.0
67.5,18.0
68.0,19.0
68.5,19.0
69.0,20.0
69.5,21.0
70.0,21.0
70.5,22.0
71.0,22.0
71.5,23.0
72.0,24.0
72.5,24.0
73.0,25.0
73.5,26.0
74.0,27.0
74.5,27.0
75.0,28.0
75.5,29.0
76.0,30.0
76.5,31.0
77.0,32.0
77.5,33.0
78.0,34.0
78.5,35.0
79.0,36.0
79.5,38.0
80.0,39.0
80.5,40.0
81.0,42.0
81.5,43.0
82.0,45.0
82.5,47.0
83.0,49.0
83.5,50.0
84.0,52.0
84.5,55.0
85.0,57.0
85.5,59.0
86.0,62.0
86.5,65.0
87.0,68.0
87.5,71.0
88.0,75.0
88.5,78.0
89.0,82.0
89.5,87.0
90.0,92.0
90.5,98.0
91.0,104.0
91.5,111.0
92.0,119.0
92.5,123.0
93.0,131.0
93.5,142.0
94.0,155.0
94.5,171.0
95.0,190.0
95.5,214.0
96.0,244.0
96.5,283.0
97.0,335.0
97.5,393.0
98.0,490.0
98.5,634.0
99.0,845.0
99.5,1191.0
100.0,1799.0
