percentile,iat_sec
0.0,1.0
0.5,1.0
1.0,1.0
1.5,1.0
2.0,1.0
2.5,1.0
3.0,1.0
3.5,1.0
4.0,1.0
4.5,1.0
5.0,1.0
5.5,1.0
6.0,1.0
6.5,1.0
7.0,1.0
7.5,1.0
8.0,1.0
8.5,1.0
9.0,1.0
9.5,1.0
10.0,1.0
10.5,1.0
11.0,1.0
11.5,1.0
12.0,1.0
12.5,1.0
13.0,1.0
13.5,1.0
14.0,1.0
14.5,1.0
15.0,1.0
15.5,2.0
16.0,2.0
16.5,2.0
17.0,2.0
17.5,2.0
18.0,2.0
18.5,2.0
19.0,2.0
19.5,2.0
20.0,2.0
20.5,2.0
21.0,2.0
21.5,2.0
22.0,2.0
22.5,2.0
23.0,2.0
23.5,2.0
24.0,2.0
24.5,2.0
25.0,3.0
25.5,3.0
26.0,3.0
26.5,3.0
27.0,3.0
27.5,3.0
28.0,3.0
28.5,3.0
29.0,3.0
29.5,3.0
30.0,3.0
30.5,3.0
31.0,3.0
31.5,3.0
32.0,4.0
32.5,4.0
33.0,4.0
33.5,4.0
34.0,4.0
34.5,4.0
35.0,4.0
35.5,4.0
36.0,4.0
36.5,5.0
37.0,5.0
37.5,5.0
38.0,5.0
38.5,5.0
39.0,5.0
39.5,5.0
40.0,5.0
40.5,6.0
41.0,6.0
41.5,6.0
42.0,6.0
42.5,6.0
43.0,6.0
43.5,7.0
44.0,7.0
44.5,7.0
45.0,7.0
45.5,7.0
46.0,8.0
46.5,8.0
47.0,8.0
47.5,8.0
48.0,8.0
48.5,9.0
49.0,9.0
49.5,9.0
50.0,9.0
50.5,10.0
51.0,10.0
51.5,10.0
52.0,10.0
52.5,11.0
53.0,11.0
53.5,11.0
54.0,12.0
54.5,12.0
55.0,12.0
55.5,13.0
56.0,13.0
56.5,13.0
57.0,14.0
57.5,14.0
58.0,15.0
58.5,15.0
59.0,15.0
59.5,16.0
60.0,16.0
60.5,17.0
61.0,17.0
61.5,18.0
62.0,18.0
62.5,19.0
63.0,19.0
63.5,20.0
64.0,20.0
64.5,21.0
65.0,21.0
65.5,22.0
66.0,22.0
66.5,23.0
67.0,23.0
67.5,24.0
68.0,25.0
68.5,25.0
69.0,26.0
69.5,27.0
70.0,28.0
70.5,28.0
71.0,29.0
71.5,30.0
72.0,31.0
72.5,32.0
73.0,33.0
73.5,34.0
74.0,35.0
74.5,36.0
75.0,37.0
75.5,38.0
76.0,39.0
76.5,41.0
77.0,42.0
77.5,43.0
78.0,44.0
78.5,46.0
79.0,47.0
79.5,49.0
80.0,51.0
80.5,52.0
81.0,54.0
81.5,56.0
82.0,58.0
82.5,60.0
83.0,63.0
83.5,65.0
84.0,67.0
84.5,70.0
85.0,73.0
85.5,76.0
86.0,79.0
86.5,83.0
87.0,87.0
87.5,91.0
88.0,95.0
88.5,100.0
89.0,106.0
89.5,112.0
90.0,118.0
90.5,121.0
91.0,127.0
91.5,134.0
92.0,144.0
92.5,154.0
93.0,166.0
93.5,181.0
94.0,198.0
94.5,218.0
95.0,243.0
95.5,274.0
96.0,301.0
96.5,346.0
97.0,396.0
97.5,471.0
98.0,577.0
98.5,716.0
99.0,913.0
99.5,1228.0
100.0,1799.0
