group,n_features,features,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,mimicry_recall_as_flood,mimicry_binary_attack_recall,mimicry_evasion_rate,mimicry_pred_counts,diff_vs_all_val_accuracy,diff_vs_all_val_macro_f1,diff_vs_all_test_accuracy,diff_vs_all_test_macro_f1,diff_vs_all_mimicry_recall_as_flood,diff_vs_all_mimicry_binary_attack_recall,diff_vs_all_mimicry_evasion_rate
all,37,"request_count,req_rate,iat_mean,iat_std,iat_cv,iat_skew,iat_p95,endpoint_unique,endpoint_entropy,endpoint_cost_sum,endpoint_cost_mean,ua_unique,ua_entropy,mean_response_time,mean_db_time,mean_cpu_time,sum_db_queries,status_4xx_ratio,status_5xx_ratio,status_404_ratio,status_408_ratio,request_partial_ratio,login_present_ratio,connection_count,partial_connection_count,timeout_connection_count,partial_ratio,timeout_ratio,global_unique_ip,global_unique_subnet,global_request_count,global_req_rate,global_new_src_ratio,markov_log_likelihood,iat_ks_distance,agg_ip,agg_ipSubnet24",0.9935805991440799,0.9952466854377651,0.9907341411261582,0.9917524685862451,0.9151785714285714,0.9362244897959183,0.06377551020408163,"{'http_flood': 1435, 'normal_user': 100, 'low_rate_bot': 33}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_iat,31,"request_count,req_rate,endpoint_unique,endpoint_entropy,endpoint_cost_sum,endpoint_cost_mean,ua_unique,ua_entropy,mean_response_time,mean_db_time,mean_cpu_time,sum_db_queries,status_4xx_ratio,status_5xx_ratio,status_404_ratio,status_408_ratio,request_partial_ratio,login_present_ratio,connection_count,partial_connection_count,timeout_connection_count,partial_ratio,timeout_ratio,global_unique_ip,global_unique_subnet,global_request_count,global_req_rate,global_new_src_ratio,markov_log_likelihood,agg_ip,agg_ipSubnet24",0.985734664764622,0.977716487384743,0.9821810406272273,0.9722761489005954,0.7059948979591837,0.9311224489795918,0.06887755102040816,"{'http_flood': 1107, 'low_rate_bot': 353, 'normal_user': 108}",-0.007845934379457908,-0.017530198053022028,-0.008553100498930877,-0.019476319685649668,-0.2091836734693877,-0.005102040816326481,0.005102040816326522
no_endpoint,33,"request_count,req_rate,iat_mean,iat_std,iat_cv,iat_skew,iat_p95,ua_unique,ua_entropy,mean_response_time,mean_db_time,mean_cpu_time,sum_db_queries,status_4xx_ratio,status_5xx_ratio,status_404_ratio,status_408_ratio,request_partial_ratio,login_present_ratio,connection_count,partial_connection_count,timeout_connection_count,partial_ratio,timeout_ratio,global_unique_ip,global_unique_subnet,global_request_count,global_req_rate,global_new_src_ratio,markov_log_likelihood,iat_ks_distance,agg_ip,agg_ipSubnet24",0.9921540656205421,0.994190393312824,0.9914468995010691,0.9922780433011997,0.8705357142857143,0.889030612244898,0.11096938775510204,"{'http_flood': 1365, 'normal_user': 174, 'low_rate_bot': 29}",-0.0014265335235378318,-0.0010562921249410717,0.0007127583749109156,0.0005255747149546242,-0.044642857142857095,-0.047193877551020336,0.047193877551020405
no_connection,31,"request_count,req_rate,iat_mean,iat_std,iat_cv,iat_skew,iat_p95,endpoint_unique,endpoint_entropy,endpoint_cost_sum,endpoint_cost_mean,ua_unique,ua_entropy,mean_response_time,mean_db_time,mean_cpu_time,sum_db_queries,status_4xx_ratio,status_5xx_ratio,status_404_ratio,status_408_ratio,login_present_ratio,global_unique_ip,global_unique_subnet,global_request_count,global_req_rate,global_new_src_ratio,markov_log_likelihood,iat_ks_distance,agg_ip,agg_ipSubnet24",0.9942938659058488,0.9957751563147598,0.9893086243763364,0.990694140856604,0.9272959183673469,0.9419642857142857,0.05803571428571429,"{'http_flood': 1454, 'normal_user': 91, 'low_rate_bot': 23}",0.0007132667617688604,0.0005284708769947022,-0.0014255167498218313,-0.0010583277296410953,0.01211734693877553,0.005739795918367374,-0.005739795918367346
no_global_or_baseline_dist,30,"request_count,req_rate,iat_mean,iat_std,iat_cv,iat_skew,iat_p95,endpoint_unique,endpoint_entropy,endpoint_cost_sum,endpoint_cost_mean,ua_unique,ua_entropy,mean_response_time,mean_db_time,mean_cpu_time,sum_db_queries,status_4xx_ratio,status_5xx_ratio,status_404_ratio,status_408_ratio,request_partial_ratio,login_present_ratio,connection_count,partial_connection_count,timeout_connection_count,partial_ratio,timeout_ratio,agg_ip,agg_ipSubnet24",0.9893009985734664,0.9881108262826762,0.9885958660014256,0.9901647992655163,0.9770408163265306,0.9808673469387755,0.01913265306122449,"{'http_flood': 1532, 'normal_user': 30, 'low_rate_bot': 6}",-0.004279600570613495,-0.007135859155088853,-0.002138275124732636,-0.0015876693207288461,0.06186224489795922,0.044642857142857206,-0.044642857142857144
no_cost,32,"request_count,req_rate,iat_mean,iat_std,iat_cv,iat_skew,iat_p95,endpoint_unique,endpoint_entropy,ua_unique,ua_entropy,mean_response_time,status_4xx_ratio,status_5xx_ratio,status_404_ratio,status_408_ratio,request_partial_ratio,login_present_ratio,connection_count,partial_connection_count,timeout_connection_count,partial_ratio,timeout_ratio,global_unique_ip,global_unique_subnet,global_request_count,global_req_rate,global_new_src_ratio,markov_log_likelihood,iat_ks_distance,agg_ip,agg_ipSubnet24",0.9942938659058488,0.9957744972186564,0.99215965787598,0.9928071777484236,0.9056122448979592,0.9151785714285714,0.08482142857142858,"{'http_flood': 1420, 'normal_user': 133, 'low_rate_bot': 15}",0.0007132667617688604,0.0005278117808913407,0.0014255167498218313,0.0010547091621785354,-0.00956632653061218,-0.021045918367346927,0.02104591836734694
no_status,33,"request_count,req_rate,iat_mean,iat_std,iat_cv,iat_skew,iat_p95,endpoint_unique,endpoint_entropy,endpoint_cost_sum,endpoint_cost_mean,ua_unique,ua_entropy,mean_response_time,mean_db_time,mean_cpu_time,sum_db_queries,request_partial_ratio,login_present_ratio,connection_count,partial_connection_count,timeout_connection_count,partial_ratio,timeout_ratio,global_unique_ip,global_unique_subnet,global_request_count,global_req_rate,global_new_src_ratio,markov_log_likelihood,iat_ks_distance,agg_ip,agg_ipSubnet24",0.992867332382311,0.9945806432901603,0.9914468995010691,0.9922797800207931,0.9253826530612245,0.9406887755102041,0.05931122448979592,"{'http_flood': 1451, 'normal_user': 93, 'low_rate_bot': 23, 'credential_stuffing': 1}",-0.0007132667617689714,-0.0006660421476047951,0.0007127583749109156,0.0005273114345479835,0.010204081632653073,0.0044642857142858094,-0.004464285714285712
ua_only,2,"ua_unique,ua_entropy",0.09486447931526391,0.0828465545718303,0.09194583036350677,0.0803848195986278,0.05357142857142857,0.3201530612244898,0.6798469387755102,"{'normal_user': 1066, 'low_rate_bot': 318, 'credential_stuffing': 100, 'http_flood': 84}",-0.898716119828816,-0.9124001308659347,-0.8987883107626514,-0.9113676489876174,-0.8616071428571428,-0.6160714285714286,0.6160714285714285
rate_only,4,"req_rate,global_req_rate,request_count,global_request_count",0.7125534950071327,0.7085804255836392,0.7120456165359943,0.6996414351993686,0.25,0.5025510204081632,0.49744897959183676,"{'normal_user': 780, 'http_flood': 392, 'credential_stuffing': 363, 'low_rate_bot': 33}",-0.2810271041369472,-0.28666625985412586,-0.2786885245901639,-0.2921110333868765,-0.6651785714285714,-0.4336734693877551,0.43367346938775514
endpoint_only,4,"endpoint_unique,endpoint_entropy,endpoint_cost_sum,endpoint_cost_mean",0.9329529243937232,0.881634928395556,0.9451176051318603,0.8988016176147511,0.5063775510204082,0.9891581632653061,0.010841836734693877,"{'http_flood': 794, 'low_rate_bot': 756, 'normal_user': 17, 'credential_stuffing': 1}",-0.060627674750356686,-0.11361175704220905,-0.045616535994297935,-0.09295085097149403,-0.40880102040816324,0.05293367346938782,-0.05293367346938776
