feature,importance
global_unique_ip,0.1399247979289909
global_unique_subnet,0.11572722837772584
global_req_rate,0.11231142923413245
endpoint_cost_mean,0.08634818194649022
status_4xx_ratio,0.08312786469270984
global_request_count,0.08198897191159026
login_present_ratio,0.0744091712089103
mean_cpu_time,0.039126892556401914
iat_mean,0.03890105461786316
endpoint_cost_sum,0.03383516936039785
mean_response_time,0.02708238352681607
iat_p95,0.02685814129087583
iat_cv,0.02123964779928283
endpoint_unique,0.019548995479242486
endpoint_entropy,0.019058229846875763
sum_db_queries,0.014655617772446412
iat_ks_distance,0.012381536298816784
req_rate,0.008845597295942925
request_count,0.008279108252399156
mean_db_time,0.008196824612363303
ua_entropy,0.006951543791436143
markov_log_likelihood,0.006098454712738672
ua_unique,0.004536503038553014
iat_std,0.003528711023014542
iat_skew,0.003278448225927869
global_new_src_ratio,0.0024008052873354634
connection_count,0.00072858526664343
agg_ipSubnet24,0.00037452534812719673
agg_ip,0.00025557929594949806
timeout_ratio,0.0
partial_ratio,0.0
timeout_connection_count,0.0
partial_connection_count,0.0
request_partial_ratio,0.0
status_408_ratio,0.0
status_404_ratio,0.0
status_5xx_ratio,0.0
