feature,importance
URG Flag Count,0.11081887879623312
Avg Bwd Segment Size,0.04665225037662815
Bwd Packets Length Total,0.04102980163271419
Bwd Packets/s,0.04006226991309339
Bwd Packet Length Max,0.039595544885807306
Bwd Packet Length Mean,0.03940333200389313
Packet Length Min,0.03916710333842291
Init Bwd Win Bytes,0.037682591112899566
Fwd IAT Std,0.033966264419951105
Fwd Packet Length Min,0.03340040701674458
Avg Packet Size,0.032020661525902196
Init Fwd Win Bytes,0.03130524280564834
Fwd Act Data Packets,0.03097464233885777
Subflow Bwd Bytes,0.028963558796062997
ACK Flag Count,0.026058614953479244
CWE Flag Count,0.025012260401052148
Fwd IAT Max,0.0243995974466608
Fwd Packets Length Total,0.023849029746434675
Flow Packets/s,0.022818622380014763
Fwd IAT Mean,0.019266233562594545
Fwd Packets/s,0.01692983428608672
Flow IAT Std,0.01617085829455836
Packet Length Variance,0.01559833722324957
Subflow Fwd Bytes,0.01549365573224169
Subflow Fwd Packets,0.014929788030640205
Flow IAT Mean,0.014807002691129246
Flow Bytes/s,0.013990595421007657
Flow IAT Max,0.013640139969837001
Flow Duration,0.013153693286266754
Packet Length Std,0.012576369050139917
Avg Fwd Segment Size,0.01224048768433649
Packet Length Max,0.010436856356417345
Fwd IAT Total,0.009646897465046001
Packet Length Mean,0.009446388298918688
RST Flag Count,0.007970369815607064
Fwd Packet Length Mean,0.007821213549539215
Fwd IAT Min,0.005970606839877949
Down/Up Ratio,0.005768019387100856
Total Fwd Packets,0.005481701022914419
Flow IAT Min,0.00533002594680863
Fwd Packet Length Max,0.004981057414845761
Bwd Packet Length Min,0.004776956678587041
Fwd Packet Length Std,0.004640880986927876
Protocol,0.004215497745240367
Fwd PSH Flags,0.0037249548167365147
Fwd Header Length,0.003216870902873195
Bwd Packet Length Std,0.0027578490558468126
Bwd Header Length,0.0027410510537746787
Total Backward Packets,0.002337733692281179
Idle Max,0.002210015863586013
Active Min,0.002019271491306697
Subflow Bwd Packets,0.0019072954975547119
Fwd Seg Size Min,0.0018705374456836087
Bwd IAT Max,0.0014259653807290609
Idle Mean,0.000619394308530221
Active Mean,0.0005228453996554717
Bwd IAT Mean,0.0005201559540778447
Idle Std,0.00036812452670677704
SYN Flag Count,0.0002809807565819039
Active Max,0.0002617080401656095
Bwd IAT Std,0.0002539009766472479
Bwd IAT Total,0.00022198921966157543
Idle Min,0.00013311507403509227
Bwd IAT Min,0.00011850773637976008
Active Std,2.3592176766284953e-05
FIN Flag Count,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
ECE Flag Count,0.0
Bwd URG Flags,0.0
PSH Flag Count,0.0
Bwd Avg Bulk Rate,0.0
