feature,importance
URG Flag Count,0.07802609101153966
Bwd Packets/s,0.07643340870696941
Bwd Packets Length Total,0.04432493646474527
Init Fwd Win Bytes,0.04288294541507745
Avg Bwd Segment Size,0.04257589310889566
Init Bwd Win Bytes,0.04237081851563458
Fwd IAT Std,0.04044177792391166
Bwd Packet Length Max,0.039363854328484084
Flow Packets/s,0.035159104845371124
Bwd Packet Length Mean,0.034127563977741804
Flow Duration,0.0331460162745251
Fwd IAT Max,0.032468515153551224
Flow IAT Std,0.03178757961866876
Fwd IAT Mean,0.029810839414397584
Subflow Bwd Bytes,0.029102197607231216
Flow IAT Max,0.02764510966550522
Fwd IAT Total,0.025079082661784678
ACK Flag Count,0.023263284454143586
Down/Up Ratio,0.01953718662359943
Flow IAT Mean,0.019313163483755738
Subflow Fwd Packets,0.016955421072080045
Fwd Packets/s,0.016661576553335024
CWE Flag Count,0.015483547836977916
Total Fwd Packets,0.014936270295867724
Packet Length Variance,0.01473675270853598
Packet Length Std,0.011246488002517232
Packet Length Min,0.01103060284425079
Protocol,0.009076180098518327
Fwd IAT Min,0.008815500521284934
Avg Packet Size,0.008668059883948486
Packet Length Max,0.007317732818704439
Bwd Header Length,0.007304206597860373
Fwd Header Length,0.006553249951569268
Fwd Packet Length Min,0.0064034768321103
Flow IAT Min,0.0063192597582495715
Bwd IAT Total,0.006228656685891336
Packet Length Mean,0.005708719020430441
Bwd IAT Max,0.005576659159367126
Flow Bytes/s,0.005251343236040531
Fwd Packet Length Mean,0.005102045345533062
Fwd Packet Length Std,0.005010068506414567
Fwd Packets Length Total,0.004735045743463387
Avg Fwd Segment Size,0.004270886375553684
Fwd PSH Flags,0.003983165186045627
Fwd Seg Size Min,0.0038494077600686972
Fwd Packet Length Max,0.0037557569021203275
Bwd Packet Length Std,0.0036788331372629626
Total Backward Packets,0.0035030443076481538
RST Flag Count,0.0033131989869323248
Idle Mean,0.0032195053913642246
Active Min,0.003116057178741784
Subflow Fwd Bytes,0.0031057737707155496
Subflow Bwd Packets,0.0029717503021562657
Fwd Act Data Packets,0.0022876803762334687
Bwd IAT Mean,0.0021482906657287262
Active Mean,0.0020846390033869284
Bwd IAT Min,0.002082703289360466
Active Max,0.0017900838024144544
Bwd Packet Length Min,0.001745015240411391
Idle Max,0.0011994089023881838
Idle Std,0.0005271925060840044
Idle Min,0.0004599945253641169
Active Std,0.00039140298400930265
SYN Flag Count,0.00027013981616881496
Bwd IAT Std,0.00026583686135643505
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
PSH Flag Count,0.0
FIN Flag Count,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Fwd Avg Bulk Rate,0.0
