feature,importance
endpoint_entropy,0.10547638640148459
login_present_ratio,0.09694501874621618
endpoint_cost_mean,0.09612056586308691
status_4xx_ratio,0.08490306399572639
global_unique_subnet,0.08157895980259808
endpoint_unique,0.05718762162684599
markov_log_likelihood,0.05067786424619882
mean_db_time,0.048838519037995624
mean_cpu_time,0.04763606635745259
endpoint_cost_sum,0.04608608215045502
anomaly_score,0.04318080289643167
iat_p95,0.03859670868275191
mean_response_time,0.03678113435264048
sum_db_queries,0.03086568255860909
iat_mean,0.025507897905249627
iat_cv,0.024121769746695457
iat_ks_distance,0.019271882311581983
global_unique_ip,0.01800433054839032
request_count,0.008458380004217017
req_rate,0.00843537702021874
iat_std,0.006800203615919131
global_request_count,0.006408013616636604
global_req_rate,0.0060303926223977105
iat_skew,0.0053614187402719
connection_count,0.0031534798079236957
ua_entropy,0.0010620694295675557
ua_unique,0.0008649085343828526
global_new_src_ratio,0.0006633023106839403
agg_ipSubnet24,0.0005106945312868934
agg_ip,0.0004714025360832752
partial_ratio,0.0
timeout_ratio,0.0
status_408_ratio,0.0
timeout_connection_count,0.0
partial_connection_count,0.0
status_5xx_ratio,0.0
request_partial_ratio,0.0
status_404_ratio,0.0
