model,split,class,pr_auc
baseline_rf,val,credential_stuffing,1.0
baseline_rf,val,http_flood,0.9994993563743677
baseline_rf,val,low_rate_bot,1.0
baseline_rf,val,normal_user,0.9992293861360104
baseline_rf,test,credential_stuffing,1.0
baseline_rf,test,http_flood,0.9995300995742892
baseline_rf,test,low_rate_bot,1.0
baseline_rf,test,normal_user,0.9993435936408286
proposed_iso_rf,val,credential_stuffing,1.0
proposed_iso_rf,val,http_flood,0.9993994065149452
proposed_iso_rf,val,low_rate_bot,1.0
proposed_iso_rf,val,normal_user,0.9991069229561255
proposed_iso_rf,test,credential_stuffing,1.0
proposed_iso_rf,test,http_flood,0.9995387843210257
proposed_iso_rf,test,low_rate_bot,0.9999999999999998
proposed_iso_rf,test,normal_user,0.9993225272145526
